"","cluster_1","cluster_2","cluster_3"
"NPHP3",2,3,2
"UBA5",2,3,2
"NPHP3-AS1",2,3,2
"TMEM108",2,3,2
"BFSP2",2,3,2
"BFSP2-AS1",2,3,2
"CDV3",2,3,2
"TOPBP1",2,3,2
"TF",2,3,2
"SRPRB",2,3,2
"RAB6B",2,3,2
"C3orf36",2,3,2
"SLCO2A1",2,3,2
"RYK",2,3,2
"AMOTL2",2,3,2
"AC010207.1",2,3,2
"ANAPC13",2,3,2
"CEP63",2,3,2
"EPHB1",2,3,2
"PPP2R3A",2,3,2
"MSL2",2,3,2
"PCCB",2,3,2
"STAG1",2,3,2
"SLC35G2",2,3,2
"NCK1",2,3,2
"IL20RB",2,3,2
"SOX14",2,3,2
"CLDN18",2,3,2
"DZIP1L",2,3,2
"DBR1",2,3,2
"ARMC8",2,3,2
"NME9",2,3,2
"MRAS",2,3,2
"ESYT3",2,3,2
"CEP70",2,3,2
"FAIM",2,3,2
"PIK3CB",2,3,2
"FOXL2",2,3,2
"PRR23C",2,3,2
"BPESC1",2,3,2
"MRPS22",2,3,2
"COPB2",2,3,2
"RBP2",2,3,2
"AC097103.1",2,3,2
"RBP1",2,3,2
"NMNAT3",2,3,2
"CLSTN2",2,3,2
"CLSTN2-AS1",2,3,2
"SLC25A36",2,3,2
"SPSB4",2,3,2
"ZBTB38",2,3,2
"RASA2",2,3,2
"RNF7",2,3,2
"GRK7",2,3,2
"ATP1B3",2,3,2
"ATP1B3-AS1",2,3,2
"TFDP2",2,3,2
"GK5",2,3,2
"XRN1",2,3,2
"ATR",2,3,2
"PLS1",2,3,2
"TRPC1",2,3,2
"PCOLCE2",2,3,2
"PAQR9",2,3,2
"U2SURP",2,3,2
"CHST2",2,3,2
"SLC9A9",2,3,2
"C3orf58",2,3,2
"PLOD2",2,3,2
"PLSCR4",2,3,2
"PLSCR2",2,3,2
"PLSCR1",2,3,2
"CPB1",2,3,2
"GYG1",2,3,2
"HLTF",2,3,2
"HPS3",2,3,2
"CP",2,3,2
"TM4SF18",2,3,2
"TM4SF1",2,3,2
"TM4SF1-AS1",2,3,2
"TM4SF4",2,3,2
"WWTR1",2,3,2
"WWTR1-AS1",2,3,2
"COMMD2",2,3,2
"ANKUB1",2,3,2
"RNF13",2,3,2
"AC117395.1",2,3,2
"PFN2",2,3,2
"TSC22D2",2,3,2
"EIF2A",2,3,2
"SERP1",2,3,2
"SIAH2",2,3,2
"SIAH2-AS1",2,3,2
"GPR171",2,3,2
"MED12L",2,3,2
"GPR87",2,3,2
"IGSF10",2,3,2
"AADAC",2,3,2
"SUCNR1",2,3,2
"MBNL1-AS1",2,3,2
"MBNL1",2,3,2
"P2RY1",2,3,2
"RAP2B",2,3,2
"ARHGEF26",2,3,2
"DHX36",2,3,2
"MME",2,3,2
"PLCH1",2,3,2
"C3orf33",2,3,2
"SLC33A1",2,3,2
"GMPS",2,3,2
"KCNAB1",2,3,2
"SSR3",2,3,2
"TIPARP-AS1",2,3,2
"TIPARP",2,3,2
"LINC00886",2,3,2
"LEKR1",2,3,2
"LINC00880",2,3,2
"CCNL1",2,3,2
"VEPH1",2,3,2
"PTX3",2,3,2
"SHOX2",2,3,2
"RSRC1",2,3,2
"MLF1",2,3,2
"LXN",2,3,2
"GFM1",2,3,2
"RARRES1",2,3,2
"MFSD1",2,3,2
"IQCJ",2,3,2
"IQCJ-SCHIP1",2,3,2
"IQCJ-SCHIP1-AS1",2,3,2
"SCHIP1",2,3,2
"IL12A",2,3,2
"IL12A-AS1",2,3,2
"C3orf80",2,3,2
"IFT80",2,3,2
"SMC4",2,3,2
"TRIM59",2,3,2
"KPNA4",2,3,2
"ARL14",2,3,2
"PPM1L",2,3,2
"B3GALNT1",2,3,2
"NMD3",2,3,2
"SPTSSB",2,3,2
"BCHE",2,3,2
"ZBBX",2,3,2
"SERPINI2",2,3,2
"WDR49",2,3,2
"PDCD10",2,3,2
"SERPINI1",2,3,2
"GOLIM4",2,3,2
"MECOM",2,3,2
"TERC",2,3,2
"ACTRT3",2,3,2
"MYNN",2,3,2
"LRRC34",2,3,2
"SEC62-AS1",2,3,2
"SEC62",2,3,2
"GPR160",2,3,2
"PHC3",2,3,2
"PRKCI",2,3,2
"SKIL",2,3,2
"SLC7A14",2,3,2
"CLDN11",2,3,2
"RPL22L1",2,3,2
"EIF5A2",2,3,2
"TNIK",2,3,2
"PLD1",2,3,2
"TMEM212",2,3,2
"FNDC3B",2,3,2
"TNFSF10",2,3,2
"NCEH1",2,3,2
"ECT2",2,3,2
"NLGN1",2,3,2
"NAALADL2",2,4,2
"TBL1XR1",2,4,2
"LINC00501",2,4,2
"LINC00578",2,4,2
"KCNMB2",2,4,2
"ZMAT3",2,4,2
"PIK3CA",2,4,2
"KCNMB3",2,4,2
"ZNF639",2,4,2
"MFN1",2,4,2
"AC007620.3",2,4,2
"GNB4",2,4,2
"ACTL6A",2,4,2
"MRPL47",2,4,2
"NDUFB5",2,4,2
"AC090425.1",2,4,2
"USP13",2,4,2
"PEX5L",2,4,2
"TTC14",2,4,2
"FXR1",2,4,2
"DNAJC19",2,4,2
"SOX2",2,4,2
"ATP11B",2,4,2
"DCUN1D1",2,4,2
"MCCC1-AS1",2,4,2
"MCCC1",2,4,2
"LAMP3",2,4,2
"B3GNT5",2,4,2
"MCF2L2",3,5,2
"KLHL6",3,5,2
"KLHL24",3,5,2
"YEATS2",3,5,2
"AC131160.1",3,5,2
"YEATS2-AS1",3,5,2
"PARL",3,5,2
"ABCC5",3,5,2
"HTR3D",3,5,2
"HTR3E-AS1",3,5,2
"HTR3E",3,5,2
"DVL3",3,5,2
"AP2M1",3,5,2
"ABCF3",3,5,2
"VWA5B2",3,5,2
"ALG3",3,5,2
"CAMK2N2",3,5,2
"PSMD2",3,5,2
"EIF4G1",3,5,2
"FAM131A",3,5,2
"CLCN2",3,5,2
"POLR2H",3,5,2
"CHRD",3,5,2
"EIF2B5",3,5,2
"EPHB3",3,5,2
"MAGEF1",3,5,2
"VPS8",3,5,2
"C3orf70",3,5,2
"EHHADH",3,5,2
"MAP3K13",3,5,2
"TMEM41A",3,5,2
"LIPH",3,5,2
"SENP2",3,5,2
"IGF2BP2",3,5,2
"TRA2B",3,5,2
"ETV5",3,5,2
"DGKG",3,5,2
"CRYGS",3,5,2
"TBCCD1",3,5,2
"DNAJB11",3,5,2
"AHSG",3,5,2
"HRG",3,5,2
"EIF4A2",3,5,2
"RFC4",3,5,2
"ADIPOQ",3,5,2
"ADIPOQ-AS1",3,5,2
"ST6GAL1",3,5,2
"RPL39L",3,5,2
"RTP1",3,5,2
"MASP1",3,5,2
"RTP4",3,5,2
"SST",3,5,2
"BCL6",3,5,2
"LPP-AS2",3,5,2
"LPP",3,5,2
"TPRG1-AS1",3,5,2
"TPRG1",3,5,2
"TP63",3,5,2
"CLDN1",3,5,2
"CLDN16",3,5,2
"IL1RAP",3,5,2
"GMNC",3,5,3
"OSTN-AS1",3,5,3
"OSTN",3,5,3
"UTS2B",3,5,3
"CCDC50",3,5,3
"FGF12",3,5,3
"FGF12-AS3",3,5,3
"MB21D2",3,5,3
"HRASLS",3,5,3
"ATP13A5-AS1",3,5,3
"ATP13A4",3,5,3
"OPA1-AS1",3,5,3
"OPA1",3,5,3
"HES1",3,5,3
"LINC00887",3,5,3
"GP5",3,5,3
"ATP13A3",3,5,3
"LINC00884",3,5,3
"TMEM44-AS1",3,5,3
"TMEM44",3,5,3
"AC046143.2",3,5,3
"LSG1",3,5,3
"AC046143.1",3,5,3
"FAM43A",3,5,3
"XXYLT1-AS2",3,5,3
"XXYLT1",3,5,3
"ACAP2",3,5,3
"PPP1R2",3,5,3
"APOD",3,5,3
"AC069213.1",3,5,3
"MUC20",3,5,3
"MUC4",3,5,3
"TNK2",3,5,3
"TNK2-AS1",3,5,3
"TFRC",3,5,3
"LINC00885",3,5,3
"ZDHHC19",3,5,3
"SLC51A",3,5,3
"PCYT1A",3,5,3
"TCTEX1D2",3,5,3
"TM4SF19-AS1",3,5,3
"TM4SF19",3,5,3
"UBXN7",3,5,3
"UBXN7-AS1",3,5,3
"AC117490.2",3,5,3
"RNF168",3,5,3
"WDR53",3,5,3
"FBXO45",3,5,3
"LINC01063",3,5,3
"NRROS",3,5,3
"PIGX",3,5,3
"CEP19",3,5,3
"PAK2",3,5,3
"SENP5",3,5,3
"NCBP2",3,5,3
"NCBP2-AS1",3,5,3
"NCBP2-AS2",3,5,3
"PIGZ",3,5,3
"DLG1",3,5,3
"DLG1-AS1",3,5,3
"AC128709.1",3,5,3
"BDH1",3,5,3
"AC024560.3",3,5,3
"FYTTD1",3,5,3
"AC055764.1",3,5,3
"LRCH3",3,5,3
"IQCG",3,5,3
"RPL35A",3,5,3
"LMLN",3,5,3
"MTTP",2,2,1
"DAPP1",2,2,1
"LAMTOR3",2,2,1
"DNAJB14",2,2,1
"H2AFZ",2,2,1
"DDIT4L",2,2,1
"EMCN",2,2,1
"PPP3CA",2,2,1
"AP001816.1",2,2,1
"BANK1",2,2,1
"SLC39A8",2,2,1
"NFKB1",2,2,1
"AF213884.3",2,2,1
"MANBA",2,2,1
"UBE2D3",2,2,1
"CISD2",2,2,1
"SLC9B1",2,2,1
"SLC9B2",2,2,1
"BDH2",2,2,1
"CENPE",2,2,1
"CXXC4",2,2,1
"AC004069.1",2,2,1
"TET2",2,2,1
"PPA2",2,2,1
"ARHGEF38",2,2,1
"GSTCD",2,2,1
"INTS12",2,2,1
"NPNT",2,2,1
"TBCK",2,2,1
"AIMP1",2,2,1
"DKK2",2,2,1
"PAPSS1",2,2,1
"SGMS2",2,2,1
"CYP2U1",2,2,1
"HADH",2,2,1
"LEF1",2,2,1
"RPL34-AS1",2,2,1
"RPL34",2,2,1
"OSTC",2,2,1
"ETNPPL",2,2,1
"COL25A1",2,2,1
"SEC24B-AS1",2,2,1
"SEC24B",2,2,1
"CASP6",2,2,1
"PLA2G12A",2,2,1
"CFI",2,2,1
"GAR1",2,2,1
"RRH",2,2,1
"LRIT3",2,2,1
"EGF",2,2,1
"ELOVL6",2,2,1
"ENPEP",2,2,1
"PITX2",2,2,1
"AP1AR",2,2,1
"TIFA",2,2,1
"ALPK1",2,2,1
"LARP7",2,2,1
"ANK2",2,2,1
"CAMK2D",2,2,1
"ARSJ",2,2,1
"UGT8",2,2,1
"TRAM1L1",2,2,1
"NDST3",2,2,1
"SNHG8",2,2,1
"PRSS12",2,2,1
"METTL14",2,2,1
"SEC24D",2,2,1
"SYNPO2",2,2,1
"MYOZ2",2,2,1
"USP53",2,2,1
"C4orf3",2,2,1
"PDE5A",2,2,1
"MAD2L1",2,2,1
"PRDM5",2,2,1
"NDNF",2,2,1
"TNIP3",2,2,1
"QRFPR",2,2,1
"ANXA5",2,2,1
"TMEM155",2,2,1
"AC079341.1",2,2,1
"EXOSC9",2,2,1
"CCNA2",2,2,1
"BBS7",2,2,1
"TRPC3",2,2,1
"KIAA1109",2,2,1
"BBS12",2,2,1
"FGF2",2,2,1
"NUDT6",2,2,1
"SPATA5",2,2,1
"SPRY1",2,2,1
"LINC01091",2,2,1
"ANKRD50",2,2,1
"FAT4",2,2,1
"INTU",2,2,1
"SLC25A31",2,2,1
"HSPA4L",2,2,1
"PLK4",2,2,1
"MFSD8",2,2,1
"LARP1B",2,2,1
"PGRMC2",2,2,1
"JADE1",2,2,1
"SCLT1",2,2,1
"C4orf33",2,2,1
"PCDH10",2,2,1
"PABPC4L",2,2,1
"PCDH18",2,2,1
"SLC7A11",2,2,1
"LINC00500",2,2,1
"ELF2",3,2,2
"MGARP",3,2,2
"NDUFC1",3,2,2
"NAA15",3,2,2
"RAB33B",3,2,2
"SETD7",3,2,2
"MGST2",3,2,2
"MAML3",3,2,2
"SCOC",3,2,2
"CLGN",3,2,2
"ELMOD2",3,2,2
"UCP1",3,2,2
"TBC1D9",3,2,2
"RNF150",3,2,2
"ZNF330",3,2,2
"IL15",3,2,2
"INPP4B",3,2,2
"USP38",3,2,2
"GAB1",3,2,2
"SMARCA5-AS1",3,2,2
"SMARCA5",3,2,2
"FREM3",3,2,2
"GYPB",3,2,2
"GYPA",3,2,2
"HHIP-AS1",4,3,3
"HHIP",4,3,3
"ANAPC10",4,3,3
"ABCE1",4,3,3
"OTUD4",4,3,3
"SMAD1-AS2",4,3,3
"SMAD1-AS1",4,3,3
"SMAD1",4,3,3
"MMAA",4,3,3
"C4orf51",4,3,3
"ZNF827",4,3,3
"LSM6",4,3,3
"SLC10A7",4,3,3
"TTC29",4,3,3
"EDNRA",4,3,3
"TMEM184C",4,3,3
"ARHGAP10",4,3,3
"NR3C2",4,3,3
"DCLK2",4,3,3
"MAB21L2",4,3,3
"AC110813.1",4,3,3
"LRBA",4,3,3
"RPS3A",4,3,3
"SH3D19",4,3,3
"PRSS48",4,3,3
"FAM160A1",4,3,3
"FBXW7",4,3,3
"PIK3R1",2,1,2
"SLC30A5",2,1,2
"CCNB1",2,1,2
"CENPH",2,1,2
"MRPS36",2,1,2
"CDK7",2,1,2
"CCDC125",2,1,2
"TAF9",2,1,2
"RAD17",2,1,2
"MARVELD2",2,1,2
"OCLN",2,1,2
"GTF2H2C",2,1,2
"SERF1B",2,1,2
"SMN2",2,1,2
"SERF1A",2,1,2
"SMN1",2,1,2
"NAIP",2,1,2
"GTF2H2",2,1,2
"AC145141.2",2,1,2
"BDP1",2,1,2
"MCCC2",2,1,2
"CARTPT",2,1,2
"MAP1B",2,1,2
"MRPS27",2,1,2
"PTCD2",2,1,2
"ZNF366",2,1,2
"TNPO1",2,1,2
"FCHO2",2,1,2
"TMEM171",2,1,2
"BTF3",2,1,2
"AC099522.2",2,1,2
"ANKRA2",2,1,2
"UTP15",2,1,2
"ARHGEF28",2,1,2
"ENC1",2,1,2
"HEXB",2,1,2
"GFM2",2,1,2
"NSA2",2,1,2
"FAM169A",2,1,2
"GCNT4",2,1,2
"ANKRD31",2,1,2
"HMGCR",2,1,2
"COL4A3BP",2,1,2
"POLK",2,1,2
"ANKDD1B",2,1,2
"POC5",2,1,2
"SV2C",2,1,2
"IQGAP2",2,1,2
"F2RL2",2,1,2
"F2R",2,1,2
"F2RL1",2,1,2
"AGGF1",2,1,2
"ZBED3",2,1,2
"ZBED3-AS1",2,1,2
"PDE8B",2,1,2
"WDR41",2,1,2
"OTP",2,1,2
"TBCA",2,1,2
"AP3B1",2,1,2
"SCAMP1",2,1,2
"LHFPL2",2,1,2
"ARSB",2,1,2
"BHMT2",2,1,2
"DMGDH",2,1,2
"BHMT",2,1,2
"JMY",2,1,2
"HOMER1",2,1,2
"CMYA5",2,1,2
"MTX3",2,1,2
"THBS4",2,1,2
"SERINC5",2,1,2
"ZFYVE16",2,1,2
"FAM151B",2,1,2
"ANKRD34B",2,1,2
"DHFR",2,1,2
"MSH3",2,1,2
"RASGRF2",2,1,2
"CKMT2",2,1,2
"CKMT2-AS1",2,1,2
"ZCCHC9",2,1,2
"SSBP2",2,1,2
"ATG10",2,1,2
"RPS23",2,1,2
"ATP6AP1L",2,1,2
"TMEM167A",2,1,2
"XRCC4",2,1,2
"VCAN",2,1,2
"HAPLN1",2,1,2
"EDIL3",2,1,2
"AC010595.1",2,1,2
"COX7C",2,1,2
"RASA1",2,1,2
"CCNH",2,1,2
"TMEM161B",2,1,2
"TMEM161B-AS1",2,1,2
"LINC00461",2,1,2
"MEF2C",2,1,2
"MEF2C-AS1",2,1,2
"CETN3",2,1,2
"MBLAC2",2,1,2
"POLR3G",2,1,2
"LYSMD3",2,1,2
"LUCAT1",2,1,2
"ARRDC3",2,1,2
"NR2F1-AS1",2,1,2
"NR2F1",2,1,2
"POU5F2",2,1,2
"FAM172A",2,1,2
"KIAA0825",2,1,2
"MCTP1",2,1,2
"FAM81B",2,1,2
"TTC37",2,1,2
"ARSK",2,1,2
"GPR150",2,1,2
"RFESD",2,1,2
"SPATA9",2,1,2
"RHOBTB3",2,1,2
"GLRX",2,1,2
"ELL2",2,1,2
"PCSK1",2,1,2
"CAST",2,1,2
"ERAP1",2,1,2
"ERAP2",2,1,2
"LNPEP",2,1,2
"LIX1",2,1,2
"RIOK2",2,1,2
"RGMB-AS1",2,1,2
"RGMB",2,1,2
"CHD1",2,1,2
"FAM174A",2,1,2
"ST8SIA4",2,1,2
"SLCO4C1",2,1,2
"SLCO6A1",2,1,2
"LINC00491",2,1,2
"PAM",2,1,2
"GIN1",2,1,2
"PPIP5K2",2,1,2
"C5orf30",2,1,2
"NUDT12",2,1,2
"EFNA5",2,1,2
"FBXL17",2,1,2
"LINC01023",2,1,2
"FER",2,1,2
"PJA2",2,1,2
"AC012603.1",2,1,2
"MAN2A1",2,1,2
"TMEM232",2,1,2
"SLC25A46",2,1,2
"WDR36",2,1,2
"CAMK4",2,1,2
"STARD4",2,1,2
"STARD4-AS1",2,1,2
"NREP",2,1,2
"EPB41L4A-AS1",2,1,2
"EPB41L4A",2,1,2
"APC",2,1,2
"SRP19",2,1,2
"REEP5",2,1,2
"DCP2",2,1,2
"MCC",2,1,2
"TSSK1B",2,1,2
"YTHDC2",2,1,2
"KCNN2",2,1,2
"TRIM36",2,1,2
"PGGT1B",2,1,2
"CCDC112",2,1,2
"FEM1C",2,1,2
"TMED7-TICAM2",2,1,2
"TICAM2",2,1,2
"TMED7",2,1,2
"CDO1",2,1,2
"ATG12",2,1,2
"AP3S1",2,1,2
"AC034236.2",2,1,2
"COMMD10",2,1,2
"SEMA6A",2,1,2
"LINC00992",2,1,2
"DTWD2",2,1,2
"DMXL1",2,1,2
"TNFAIP8",2,1,2
"HSD17B4",2,1,2
"PRR16",2,1,2
"SRFBP1",2,1,2
"LOX",2,1,2
"ZNF474",2,1,2
"SNCAIP",2,1,2
"SNX2",2,1,2
"SNX24",2,1,2
"PPIC",2,1,2
"PRDM6",2,1,2
"CEP120",2,1,2
"CSNK1G3",2,1,2
"LINC01170",2,1,2
"ZNF608",2,1,2
"ALDH7A1",2,1,2
"PHAX",2,1,2
"LMNB1",2,1,2
"MARCH3",2,1,2
"C5orf63",2,1,2
"MEGF10",2,1,2
"PRRC1",2,1,2
"SLC12A2",2,1,2
"FBN2",2,1,2
"SLC27A6",2,1,2
"ISOC1",2,1,2
"KIAA1024L",2,1,2
"CHSY3",2,1,2
"HINT1",2,1,2
"LYRM7",2,1,2
"CDC42SE2",2,1,2
"RAPGEF6",2,1,2
"FNIP1",2,1,2
"ACSL6",2,1,2
"P4HA2",2,1,2
"PDLIM4",2,1,2
"SLC22A4",2,1,2
"SLC22A5",2,1,2
"IRF1",2,1,2
"IL5",2,1,2
"RAD50",2,1,2
"IL13",2,1,2
"IL4",2,1,2
"KIF3A",2,1,2
"CCNI2",2,1,2
"SEPT8",2,1,2
"SOWAHA",2,1,2
"SHROOM1",2,1,2
"GDF9",2,1,2
"UQCRQ",2,1,2
"LEAP2",2,1,2
"AFF4",2,1,2
"AC010240.3",2,1,2
"ZCCHC10",2,1,2
"HSPA4",2,1,2
"FSTL4",2,1,2
"C5orf15",2,1,2
"VDAC1",2,1,2
"TCF7",2,1,2
"SKP1",2,1,2
"PPP2CA",2,1,2
"CDKL3",2,1,2
"UBE2B",2,1,2
"CDKN2AIPNL",2,1,2
"JADE2",2,1,2
"SAR1B",2,1,2
"SEC24A",2,1,2
"CAMLG",2,1,2
"DDX46",2,1,2
"C5orf24",2,1,2
"TXNDC15",2,1,2
"PCBD2",2,1,2
"CATSPER3",2,1,2
"PITX1",2,1,2
"C5orf66",2,1,2
"H2AFY",2,1,2
"TIFAB",2,1,2
"CXCL14",2,1,2
"SLC25A48",2,1,2
"TGFBI",2,1,2
"SMAD5-AS1",2,1,2
"SMAD5",2,1,2
"SPOCK1",2,1,2
"KLHL3",2,1,2
"HNRNPA0",2,1,2
"PKD2L2",2,1,2
"FAM13B",2,1,2
"NME5",2,1,2
"BRD8",2,1,2
"KIF20A",2,1,2
"CDC23",2,1,2
"GFRA3",2,1,2
"CDC25C",2,1,2
"FAM53C",2,1,2
"KDM3B",2,1,2
"REEP2",2,1,2
"EGR1",2,1,2
"ETF1",2,1,2
"HSPA9",2,1,2
"AC034243.1",2,1,2
"CTNNA1",2,1,2
"LRRTM2",2,1,2
"SIL1",2,1,2
"MATR3",2,1,2
"PAIP2",2,1,2
"SLC23A1",2,1,2
"MZB1",2,1,2
"PROB1",2,1,2
"SPATA24",2,1,2
"DNAJC18",2,1,2
"ECSCR",2,1,2
"TMEM173",2,1,2
"UBE2D2",2,1,2
"CXXC5",2,1,2
"PSD2",2,1,2
"NRG2",2,1,2
"PURA",2,1,2
"IGIP",2,1,2
"CYSTM1",2,1,2
"PFDN1",2,1,2
"HBEGF",2,1,2
"SLC4A9",2,1,2
"ANKHD1",2,1,2
"ANKHD1-EIF4EBP3",2,1,2
"SRA1",2,1,2
"EIF4EBP3",2,1,2
"SLC35A4",2,1,2
"APBB3",2,1,2
"CD14",2,1,2
"TMCO6",2,1,2
"NDUFA2",2,1,2
"IK",2,1,2
"WDR55",2,1,2
"DND1",2,1,2
"HARS",2,1,2
"HARS2",2,1,2
"ZMAT2",2,1,2
"PCDHA1",2,1,2
"PCDHA2",2,1,2
"PCDHA3",2,1,2
"PCDHA4",2,1,2
"PCDHA5",2,1,2
"PCDHA6",2,1,2
"PCDHA7",2,1,2
"PCDHA8",2,1,2
"PCDHA9",2,1,2
"PCDHA10",2,1,2
"PCDHA11",2,1,2
"PCDHA12",2,1,2
"PCDHA13",2,1,2
"PCDHAC1",2,1,2
"PCDHAC2",2,1,2
"PCDHB1",2,1,2
"PCDHB2",2,1,2
"PCDHB3",2,1,2
"PCDHB4",2,1,2
"PCDHB5",2,1,2
"PCDHB6",2,1,2
"PCDHB7",2,1,2
"PCDHB16",2,1,2
"PCDHB9",2,1,2
"PCDHB10",2,1,2
"PCDHB11",2,1,2
"PCDHB12",2,1,2
"PCDHB13",2,1,2
"PCDHB14",2,1,2
"PCDHB15",2,1,2
"SLC25A2",2,1,2
"TAF7",2,1,2
"AC005618.1",2,1,2
"PCDHGA1",2,1,2
"PCDHGA2",2,1,2
"PCDHGA3",2,1,2
"PCDHGB1",2,1,2
"PCDHGA4",2,1,2
"PCDHGB2",2,1,2
"PCDHGA5",2,1,2
"PCDHGB3",2,1,2
"PCDHGA6",2,1,2
"PCDHGA7",2,1,2
"PCDHGB4",2,1,2
"PCDHGA8",2,1,2
"PCDHGA9",2,1,2
"PCDHGB6",2,1,2
"PCDHGA10",2,1,2
"PCDHGB7",2,1,2
"PCDHGA11",2,1,2
"PCDHGA12",2,1,2
"PCDHGC3",2,1,2
"PCDHGC4",2,1,2
"PCDHGC5",2,1,2
"DIAPH1",2,1,2
"HDAC3",2,1,2
"RELL2",2,1,2
"FCHSD1",2,1,2
"ARAP3",2,1,2
"PCDH1",2,1,2
"PCDH12",2,1,2
"RNF14",2,1,2
"GNPDA1",2,1,2
"AC005740.4",2,1,2
"NDFIP1",2,1,2
"SPRY4",2,1,2
"FGF1",2,1,2
"AC005592.1",2,1,2
"ARHGAP26-AS1",2,1,2
"ARHGAP26",2,1,2
"NR3C1",2,1,2
"HMHB1",2,1,2
"YIPF5",2,1,2
"KCTD16",2,1,2
"AC132803.1",2,1,2
"PRELID2",2,1,2
"GRXCR2",2,1,2
"SH3RF2",2,1,2
"PLAC8L1",2,1,2
"LARS",2,1,2
"RBM27",2,1,2
"POU4F3",2,1,2
"TCERG1",2,1,2
"GPR151",2,1,2
"PPP2R2B",2,1,2
"STK32A",2,1,2
"DPYSL3",2,1,2
"JAKMIP2",2,1,2
"SPINK1",2,1,2
"C5orf46",2,1,2
"SPINK5",2,1,2
"FOXC1",2,2,1
"GMDS",2,2,1
"AL031768.1",2,2,1
"MYLK4",2,2,1
"WRNIP1",2,2,1
"SERPINB1",2,2,1
"SERPINB9",2,2,1
"SERPINB6",2,2,1
"LINC01011",2,2,1
"NQO2",2,2,1
"RIPK1",2,2,1
"BPHL",2,2,1
"TUBB2A",2,2,1
"TUBB2B",2,2,1
"PSMG4",2,2,1
"SLC22A23",2,2,1
"PXDC1",2,2,1
"FAM50B",2,2,1
"PRPF4B",2,2,1
"ECI2",2,2,1
"CDYL",2,2,1
"RPP40",2,2,1
"PPP1R3G",2,2,1
"LYRM4",2,2,1
"FARS2",2,2,1
"NRN1",2,2,1
"F13A1",2,2,1
"LY86-AS1",2,2,1
"LY86",2,2,1
"RREB1",2,2,1
"SSR1",2,2,1
"CAGE1",2,2,1
"RIOK1",2,2,1
"DSP",2,2,1
"SNRNP48",2,2,1
"BMP6",2,2,1
"TXNDC5",2,2,1
"BLOC1S5",2,2,1
"EEF1E1",2,2,1
"SLC35B3",2,2,1
"TFAP2A",2,2,1
"TFAP2A-AS1",2,2,1
"LINC00518",2,2,1
"GCNT2",2,2,1
"C6orf52",2,2,1
"PAK1IP1",2,2,1
"TMEM14C",2,2,1
"TMEM14B",2,2,1
"MAK",2,2,1
"SYCP2L",2,2,1
"ELOVL2",2,2,1
"SMIM13",2,2,1
"NEDD9",2,2,1
"TMEM170B",2,2,1
"ADTRP",2,2,1
"FAM20C",2,1,2
"AC226118.1",2,1,2
"AC147651.1",2,1,2
"PDGFA",2,1,2
"AC147651.2",2,1,2
"AC147651.4",2,1,2
"PRKAR1B",2,1,2
"SUN1",2,1,2
"GET4",2,1,2
"ADAP1",2,1,2
"COX19",2,1,2
"CYP2W1",2,1,2
"GPR146",2,1,2
"C7orf50",2,1,2
"GPER1",2,1,2
"ZFAND2A",2,1,2
"MICALL2",2,1,2
"INTS1",2,1,2
"MAFK",2,1,2
"TMEM184A",2,1,2
"PSMG3",2,1,2
"PSMG3-AS1",2,1,2
"ELFN1",2,1,2
"MAD1L1",2,1,2
"NUDT1",2,1,2
"SNX8",2,1,2
"EIF3B",2,1,2
"CHST12",2,1,2
"LFNG",2,1,2
"BRAT1",2,1,2
"IQCE",2,1,2
"TTYH3",2,1,2
"AMZ1",2,1,2
"GNA12",2,1,2
"CARD11",2,1,2
"AC073316.1",2,1,2
"SDK1",2,1,2
"SFRP1",4,3,2
"GOLGA7",4,3,2
"GINS4",4,3,2
"NKX6-3",4,3,2
"ANK1",4,3,2
"KAT6A",4,3,2
"AP3M2",4,3,2
"PLAT",4,3,2
"IKBKB",4,3,2
"POLB",4,3,2
"DKK4",4,3,2
"VDAC3",4,3,2
"SLC20A2",4,3,2
"SMIM19",4,3,2
"CHRNA6",4,3,2
"THAP1",4,3,2
"RNF170",4,3,2
"HOOK3",4,3,2
"FNTA",4,3,2
"POMK",4,3,2
"HGSNAT",4,3,2
"SPIDR",4,3,2
"CEBPD",4,3,2
"PRKDC",4,3,2
"MCM4",4,3,2
"UBE2V2",4,3,2
"EFCAB1",4,3,2
"SNAI2",4,3,2
"SNTG1",4,3,2
"PXDNL",4,3,2
"AC090186.1",4,3,2
"PCMTD1",4,3,2
"ST18",4,3,2
"RB1CC1",4,3,2
"OPRK1",4,3,2
"ATP6V1H",4,3,2
"RGS20",4,3,2
"TCEA1",4,3,2
"LYPLA1",4,3,2
"MRPL15",4,3,2
"SOX17",4,3,2
"RP1",4,3,2
"XKR4",4,3,2
"TMEM68",4,3,2
"TGS1",4,3,2
"LYN",4,3,2
"RPS20",4,3,2
"PLAG1",4,3,2
"CHCHD7",4,3,2
"SDR16C5",4,3,2
"LINC00968",4,3,2
"IMPAD1",4,3,2
"LINC00588",4,3,2
"FAM110B",4,3,2
"UBXN2B",4,3,2
"CYP7A1",4,3,2
"SDCBP",4,3,2
"NSMAF",4,3,2
"TOX",4,3,2
"CA8",4,3,2
"RAB2A",4,3,2
"CHD7",4,3,2
"AC022182.1",4,3,2
"AC022182.2",4,3,2
"CLVS1",4,3,2
"ASPH",4,3,2
"GGH",4,3,2
"TTPA",4,3,2
