"","cluster_1","cluster_2","cluster_3"
"HPS1",2,1,2
"CNNM1",2,1,2
"GOT1",2,1,2
"SLC25A28",2,1,2
"ENTPD7",2,1,2
"COX15",2,1,2
"CUTC",2,1,2
"ABCC2",2,1,2
"DNMBP-AS1",2,1,2
"DNMBP",2,1,2
"ERLIN1",2,1,2
"CHUK",2,1,2
"PLEKHS1",2,2,1
"DCLRE1A",2,2,1
"NHLRC2",2,2,1
"ADRB1",2,2,1
"TDRD1",2,2,1
"VWA2",2,2,1
"AFAP1L2",2,2,1
"ABLIM1",2,2,1
"FAM160B1",2,2,1
"TRUB1",2,2,1
"ATRNL1",2,2,1
"GFRA1",2,2,1
"PNLIPRP1",2,2,1
"C10orf82",2,2,1
"HSPA12A",2,2,1
"ENO4",2,2,1
"PDZD8",2,2,1
"EMX2OS",2,2,1
"EMX2",2,2,1
"RAB11FIP2",2,2,1
"CASC2",2,2,1
"FAM204A",2,2,1
"LINC00867",2,2,1
"PRLHR",2,2,1
"CACUL1",2,2,1
"NANOS1",2,2,1
"EIF3A",2,2,1
"FAM45A",2,2,1
"SFXN4",2,2,1
"PRDX3",2,2,1
"GRK5",2,2,1
"RGS10",2,2,1
"TIAL1",2,2,1
"BAG3",2,2,1
"INPP5F",2,2,1
"MCMBP",2,2,1
"SEC23IP",2,2,1
"WDR11-AS1",2,2,1
"WDR11",2,2,1
"FGFR2",2,2,1
"ATE1",2,2,1
"NSMCE4A",2,2,1
"TACC2",2,2,1
"BTBD16",2,2,1
"PLEKHA1",2,2,1
"HTRA1",2,2,1
"DMBT1",2,2,1
"C10orf120",2,2,1
"CUZD1",2,2,1
"FAM24B",2,2,1
"C10orf88",2,2,1
"PSTK",2,2,1
"IKZF5",2,2,1
"ACADSB",2,2,1
"BUB3",2,2,1
"CPXM2",2,2,1
"CHST15",2,2,1
"OAT",2,2,1
"NKX1-2",2,2,1
"LHPP",2,2,1
"FAM53B",2,2,1
"AC068896.1",2,2,1
"ZRANB1",2,2,1
"CTBP2",2,2,1
"EDRF1",2,2,1
"EDRF1-AS1",2,2,1
"MMP21",2,2,1
"UROS",2,2,1
"BCCIP",2,2,1
"DHX32",2,2,1
"FANK1",2,2,1
"ADAM12",2,2,1
"DOCK1",2,2,1
